LID Summary

6694 LID(s) in Fabric:
   LID(Range) NodeGUID          Port Type Name
0x0001        0x00117501017b54ec   1 FI sm1 hfi1_0
0x0002        0x0011750102754153   0 SW M1
0x0003        0x00117501017b542e   1 FI data3 hfi1_0
0x0004        0x00117501017af754   1 FI scratchn42 hfi1_0
0x0005        0x00117501017b52a6   1 FI data1 hfi1_0
0x0006        0x0011750101709c6e   1 FI login3 hfi1_0
0x0007        0x001175010176044f   1 FI c474-093 hfi1_0
0x0008        0x001175010170a0fd   1 FI login2 hfi1_0
0x0009        0x001175010179fb29   1 FI c599-101 hfi1_0
0x000a        0x00117501017b541c   1 FI staff hfi1_0
0x000b        0x00117501017b5434   1 FI build hfi1_0
0x000c        0x00117501010dd0c7   1 FI c411-073 hfi1_0
0x000d        0x00117501017b52ae   1 FI master hfi1_0
0x000e        0x001175010178d215   1 FI lnet34 hfi1_0
0x000f        0x0011750102754d75   0 SW core1 L101B
0x0010        0x001175010171a727   1 FI c411-091 hfi1_0
0x0011        0x00117501010dd0ce   1 FI c411-071 hfi1_0
0x0012        0x0011750101799ff2   1 FI lnet32 hfi1_0
0x0013        0x001175010178d387   1 FI lnet31 hfi1_0
0x0014        0x001175010178d303   1 FI lnet30 hfi1_0
0x0015        0x001175010178d2ef   1 FI lnet29 hfi1_0
0x0016        0x0011750101709d45   1 FI login5 hfi1_0
0x0017        0x0011750101799fa3   1 FI lnet24 hfi1_0
0x0018        0x0011750101799ff9   1 FI lnet22 hfi1_0
0x0019        0x001175010277aefb   0 SW IO1-L
0x001a        0x001175010277a0cc   0 SW s411-U
0x001b        0x001175010277a0df   0 SW s410-L
0x001c        0x0011750102754208   0 SW s409-L
0x001d        0x001175010277aecb   0 SW s426-L
0x001e        0x0011750102778915   0 SW s425-L
0x001f        0x001175010277976b   0 SW s424-L
0x0020        0x001175010275c65c   0 SW s423-L
0x0021        0x001175010277a0e6   0 SW s411-L
0x0022        0x001175010277a19b   0 SW s410-U
0x0023        0x001175010277a0e0   0 SW s409-U
0x0024        0x0011750102755363   0 SW s426-U
0x0025        0x0011750102754129   0 SW s425-U
0x0026        0x0011750102755484   0 SW s424-U
0x0027        0x0011750102754dfc   0 SW s423-U
0x0028        0x0011750102779d76   0 SW core1 S207B
0x0029        0x001175010277988b   0 SW core1 S206B
0x002a        0x0011750102754f55   0 SW core1 S205B
0x002b        0x0011750102754f52   0 SW core1 S204B
0x002c        0x001175010275485a   0 SW core1 S203B
0x002d        0x00117501027799b6   0 SW core1 S202B
0x002e        0x0011750102779ab3   0 SW core1 S207A
0x002f        0x0011750102779a75   0 SW core1 S206A
0x0030        0x00117501027555b5   0 SW core1 S205A
0x0031        0x0011750102754f9b   0 SW core1 S204A
0x0032        0x0011750102754a4a   0 SW core1 S203A
0x0033        0x0011750102779dcc   0 SW core1 S202A
0x0034        0x00117501027799c5   0 SW core1 S201A
0x0035        0x001175010277a6f0   0 SW core1 S208A
0x0036        0x001175010277a6ed   0 SW core1 S208B
0x0037        0x00117501027799f2   0 SW core1 S201B
0x0038        0x0011750101718f3d   1 FI c411-132 hfi1_0
0x0039        0x0011750101718151   1 FI c411-131 hfi1_0
0x003a        0x001175010176d0d1   1 FI c410-063 hfi1_0
0x003b        0x0011750101718bae   1 FI c409-003 hfi1_0
0x003c        0x001175010171ca20   1 FI c411-003 hfi1_0
0x003d        0x001175010173e20b   1 FI c411-004 hfi1_0
0x003e        0x00117501010dd33f   1 FI c411-013 hfi1_0
0x003f        0x00117501010dd34d   1 FI c411-014 hfi1_0
0x0040        0x001175010176dc70   1 FI c411-023 hfi1_0
0x0041        0x001175010176d28c   1 FI c411-021 hfi1_0
0x0042        0x00117501010dd1f5   1 FI c411-012 hfi1_0
0x0043        0x00117501010dcb0d   1 FI c411-011 hfi1_0
0x0044        0x001175010171aae2   1 FI c411-002 hfi1_0
0x0045        0x001175010171a6fc   1 FI c411-001 hfi1_0
0x0046        0x001175010176defd   1 FI c411-024 hfi1_0
0x0047        0x001175010171ab3d   1 FI c411-033 hfi1_0
0x0048        0x00117501010dd352   1 FI c411-034 hfi1_0
0x0049        0x001175010173e15d   1 FI c411-043 hfi1_0
0x004a        0x00117501017181ec   1 FI c411-044 hfi1_0
0x004b        0x001175010176d0f0   1 FI c411-042 hfi1_0
0x004c        0x00117501010dc981   1 FI c411-041 hfi1_0
0x004d        0x00117501010dd1f8   1 FI c411-032 hfi1_0
0x004e        0x001175010171ab32   1 FI c411-031 hfi1_0
0x004f        0x001175010171a9e1   1 FI c411-022 hfi1_0
0x0050        0x0011750101718eb3   1 FI c411-053 hfi1_0
0x0051        0x0011750101718e97   1 FI c411-054 hfi1_0
0x0052        0x001175010171ab03   1 FI c411-063 hfi1_0
0x0053        0x00117501010dd355   1 FI c411-064 hfi1_0
0x0054        0x00117501010dd2e2   1 FI c411-062 hfi1_0
0x0055        0x00117501010dcd88   1 FI c411-061 hfi1_0
0x0056        0x0011750101767518   1 FI c411-052 hfi1_0
0x0057        0x001175010176f2d6   1 FI c411-051 hfi1_0
0x0058        0x0011750102754c19   0 SW core1 L105B
0x0059        0x00117501017181ff   1 FI c409-131 hfi1_0
0x005a        0x001175010171aa00   1 FI c409-122 hfi1_0
0x005b        0x0011750102779247   0 SW core1 L107B
0x005c        0x00117501010dd350   1 FI c409-121 hfi1_0
0x005d        0x001175010179edc2   1 FI c463-002 hfi1_0
0x005e        0x001175010277979a   0 SW core1 L103B
0x005f        0x001175010171d604   1 FI c415-073 hfi1_0
0x0060        0x001175010171cb98   1 FI c415-074 hfi1_0
0x0061        0x0011750102783d3b   0 SW s462-L
0x0062        0x0011750102783d5b   0 SW s456-U
0x0063        0x0011750102783191   0 SW s461-L
0x0064        0x0011750102783de5   0 SW s460-U
0x0065        0x001175010275524b   0 SW s420-U
0x0066        0x001175010277a0d1   0 SW s421-U
0x0067        0x0011750102754181   0 SW s422-U
0x0068        0x001175010277a12f   0 SW s436-U
0x0069        0x0011750102754120   0 SW s438-U
0x006a        0x001175010277a130   0 SW s434-L
0x006b        0x0011750102754eb2   0 SW s437-L
0x006c        0x0011750102754fd7   0 SW s454-L
0x006d        0x0011750102754ef9   0 SW s435-L
0x006e        0x00117501027555ca   0 SW s434-U
0x006f        0x001175010277a0e2   0 SW s454-U
0x0070        0x001175010278332c   0 SW s455-U
0x0071        0x0011750102754238   0 SW s419-L
0x0072        0x00117501027540bb   0 SW s418-L
0x0073        0x0011750102754dd5   0 SW core1 L114B
0x0074        0x001175010275576f   0 SW core1 L124B
